Date_Time (LST/LDT), Event, Speed (knots)
2022-06-30 12:49 AM, slack, -
2022-06-30 03:31 AM, ebb, -1.69
2022-06-30 07:01 AM, slack, -
2022-06-30 10:09 AM, flood, 2.54
2022-06-30 01:31 PM, slack, -
2022-06-30 04:07 PM, ebb, -1.57
2022-06-30 07:37 PM, slack, -
2022-06-30 10:21 PM, flood, 2.04
2022-07-01 01:31 AM, slack, -
2022-07-01 04:07 AM, ebb, -1.71
2022-07-01 07:37 AM, slack, -
2022-07-01 10:45 AM, flood, 2.53
2022-07-01 02:07 PM, slack, -
2022-07-01 04:43 PM, ebb, -1.60
2022-07-01 08:13 PM, slack, -
2022-07-01 10:57 PM, flood, 2.03
2022-07-02 02:07 AM, slack, -
2022-07-02 04:43 AM, ebb, -1.73
2022-07-02 08:19 AM, slack, -
2022-07-02 11:21 AM, flood, 2.52
2022-07-02 02:49 PM, slack, -
2022-07-02 05:19 PM, ebb, -1.65
2022-07-02 08:49 PM, slack, -
2022-07-02 11:33 PM, flood, 2.04
2022-07-03 02:49 AM, slack, -
2022-07-03 05:25 AM, ebb, -1.75
2022-07-03 08:55 AM, slack, -
2022-07-03 11:57 AM, flood, 2.52
2022-07-03 03:31 PM, slack, -
2022-07-03 05:55 PM, ebb, -1.69
2022-07-03 09:31 PM, slack, -
2022-07-04 12:09 AM, flood, 2.06
2022-07-04 03:31 AM, slack, -
2022-07-04 06:07 AM, ebb, -1.75
2022-07-04 09:37 AM, slack, -
2022-07-04 12:33 PM, flood, 2.49
2022-07-04 04:13 PM, slack, -
2022-07-04 06:43 PM, ebb, -1.71
2022-07-04 10:13 PM, slack, -
2022-07-05 12:51 AM, flood, 2.08
2022-07-05 04:19 AM, slack, -
2022-07-05 06:55 AM, ebb, -1.74
2022-07-05 10:25 AM, slack, -
2022-07-05 01:15 PM, flood, 2.45
2022-07-05 04:55 PM, slack, -
2022-07-05 07:25 PM, ebb, -1.72
2022-07-05 11:01 PM, slack, -
2022-07-06 01:39 AM, flood, 2.10
2022-07-06 05:07 AM, slack, -
2022-07-06 07:43 AM, ebb, -1.71
2022-07-06 11:07 AM, slack, -
2022-07-06 01:57 PM, flood, 2.38
2022-07-06 05:43 PM, slack, -
2022-07-06 08:13 PM, ebb, -1.72
2022-07-06 11:49 PM, slack, -
